code,Title,Points_21,Points_20
MH109,Media Studies,324.0,316.0
MH201,Science,401.0,360.0
MH202,Biotechnology,490.0,455.0
MH203,Biological and Geographical Sciences,451.0,430.0
MH204,Physics with Astrophysics,422.0,422.0
MH206,Theoretical Physics and Mathematics,521.0,510.0
MH207,Data Science,444.0,445.0
MH208,Biological and Biomedical Sciences,543.0,498.0
MH209,Psychology (through Science) - 4 years,529.0,498.0
MH210,Pharmaceutical and Biomedical Chemistry,510.0,487.0
MH212,Science|Maths and Computer Science|Mathematics (wi,452.0,422.0
MH304,Engineering (Computer/Electronic/Communications),351.0,333.0
MH305,Product Design,326.0,357.0
MH306,Robotics and Intelligent Devices,362.0,361.0
MH401,Finance (options),370.0,357.0
MH402,Quantitative Finance,476.0,476.0
MH403,Accounting and Finance,424.0,422.0
MH404,Business (options),441.0,430.0
MH407,Business and Accounting,423.0,420.0
MH411,Entrepreneurship,378.0,371.0
MH501,LLB Law - four year Single Major Law programme,507.0,473.0
MH502,Law (options),465.0,451.0
MH601,Computer Science through Arts (options),381.0,352.0
MH602,Computer Science through Science (options),400.0,351.0
MH603,Computational Thinking,520.0,532.0
AS001,Education  Home Economics and Biology - with concu,542.0,510.0
AS002,Education  Home Economics and Religious Ed - with,464.0,441.0
AS051,Nutrition  Food and Business Management,378.0,328.0
AS130,Intellectual Disability Nursing,387.0,336.0
SG141,Business,262.0,261.0
SG146,Accounting,304.0,309.0
SG147,Sport with Business,288.0,307.0
SG148,Tourism with Event Management,298.0,269.0
SG241,Performing Arts,341.0,328.0
SG242,Early Childhood Care and Education,287.0,279.0
SG243,Social Care Practice,309.0,301.0
SG245,Creative Design,332.0,282.0
SG246,Computing,316.0,290.0
SG247,English and Psychology,319.0,309.0
SG248,Sociology and Politics,298.0,281.0
SG249,Writing and Literature,308.0,297.0
SG252,Software Development,310.0,307.0
SG253,Computing in Computer Networks and Cyber Security,336.0,324.0
SG254,Writing and Literature Online,327.0,225.0
SG342,Civil Engineering,418.0,415.0
SG343,Quantity Surveying,300.0,311.0
SG346,Construction Project Management and Applied Techno,313.0,291.0
SG347,Architecture,403.0,360.0
SG348,Interior Architecture and Design,359.0,316.0
SG442,Occupational Safety and Health,307.0,290.0
SG443,Human Nutrition,376.0,356.0
SG444,Science Undenominated,358.0,338.0
SG445,Pharmaceutical Science with Drug Development,357.0,311.0
SG447,Health Science and Physical Activity,326.0,328.0
SG448,Forensic Investigation and Analysis,308.0,306.0
SG449,Medical Biotechnology,315.0,341.0
SG450,Environmental Science with Ecology (Level 8),310.0,300.0
TL802,TV  Radio and New Media (Level 8),322.0,325.0
TL810,Computing with Software Development,308.0,310.0
TL811,Computing with Games Development,322.0,358.0
TL815,Computing (Degree Award options),307.0,308.0
TL823,Event Management (3 year programme),293.0,299.0
TL831,Business Studies (Major Specialism in: Acctng or M,306.0,306.0
TL844,Agricultural Engineering,301.0,300.0
TL845,Civil Engineering,361.0,325.0
TL847,Manufacturing Engineering,305.0,302.0
TL848,Agricultural Science,307.0,308.0
TL851,Wildlife Biology (Degree Award options),309.0,309.0
TL855,Pharmaceutical Science (Degree Award options),316.0,317.0
TL858,Veterinary Bioscience,317.0,308.0
TL871,Health and Leisure (Degree Award options),303.0,300.0
TL872,Health and Leisure with Massage,314.0,309.0
TL873,Coaching and Sports Performance,308.0,289.0
TL880,Early Childhood Care and Education,309.0,307.0
TL881,Social Care,301.0,308.0
TL890,General Nursing and Mature Applicants,463.0,440.0
TL891,Mental Health Nursing and Mature Applicants,440.0,389.0
WD001,Applied Computing (options),270.0,260.0
WD002,Science (options),279.0,308.0
WD005,Health Sciences (options),271.0,280.0
WD006,Exercise Sciences (options),270.0,280.0
WD007,Engineering (options),270.0,288.0
WD025,Construction Management and Engineering,262.0,269.0
WD048,Business (options),279.0,271.0
WD084,Accounting,308.0,308.0
WD091,Hospitality Management,225.0,228.0
WD116,General Nursing,446.0,422.0
WD117,Psychiatric Nursing,415.0,366.0
WD120,Intellectual Disability Nursing,390.0,377.0
WD134,International Business,267.0,290.0
WD137,Design (Visual Communications),252.0,271.0
WD140,Laws,280.0,280.0
WD144,Architecture,309.0,284.0
WD147,Pharmaceutical Science,288.0,293.0
WD150,Criminal Justice Studies,280.0,270.0
WD161,Computer Forensics and Security,270.0,255.0
WD162,Quantity Surveying,226.0,216.0
WD163,Psychology,456.0,434.0
WD186,Sports Coaching and Performance,261.0,270.0
WD187,Social Science,276.0,272.0
WD191,Agricultural Science,377.0,377.0
WD192,Social Care Practice,271.0,270.0
WD193,Marketing and Digital Media,279.0,271.0
WD194,Culinary Arts,237.0,217.0
WD195,Architectural and Building Information Modelling T,279.0,279.0
WD210,Software Systems Development,260.0,279.0
WD211,Creative Computing,270.0,271.0
WD212,Recreation and Sport Management,262.0,270.0
WD230,Mechanical and Manufacturing Engineering,230.0,253.0
